"SOMAseqID","TargetFullName","Target","UniProt","EntrezGeneSymbol"
"X4957.1","40S ribosomal protein SA","40S ribosomal protein SA","P08865","RPSA"
"X4959.2","Anterior gradient protein 2 homolog","AGR2","O95994","AGR2"
"X4960.72","Annexin A1","annexin I","P04083","ANXA1"
"X4962.52","Cerebral dopamine neurotrophic factor","ARMEL","Q49AH0","CDNF"
"X4963.19","cAMP-regulated phosphoprotein 19","ARP19","P56211","ARPP19"
"X4964.67","Endoplasmic reticulum aminopeptidase 1","ARTS1","Q9NZ08","ERAP1"
"X4967.1","Complement component 1 Q subcomponent-binding protein, mitochondrial","C1QBP","Q07021","C1QBP"
"X4968.50","Macrophage-capping protein","CAPG","P40121","CAPG"
"X4969.2","Carbonic anhydrase 1","Carbonic anhydrase I","P00915","CA1"
"X4970.55","Carbonic anhydrase 2","carbonic anhydrase II","P00918","CA2"
"X4971.1","Cathepsin Z","CATZ","Q9UBR2","CTSZ"
"X4973.18","Baculoviral IAP repeat-containing protein 3","cIAP-2","Q13489","BIRC3"
"X4976.57","Adapter molecule crk","CRK","P46108","CRK"
"X4978.54","Drebrin-like protein","DBNL","Q9UJU6","DBNL"
"X4979.34","Dermatopontin","DERM","Q07507","DPT"
"X4981.6","Desmocollin-3","DSC3","Q14574","DSC3"
"X4982.54","Elafin","Elafin","P19957","PI3"
"X4983.6","Endoplasmic reticulum resident protein 29","ERP29","P30040","ERP29"
"X4984.83","S-formylglutathione hydrolase","Esterase D","P10768","ESD"
"X4985.11","Fatty acid-binding protein, epidermal","FABPE","Q01469","FABP5"
"X4987.17","Immunoglobulin alpha Fc receptor","FCAR","P24071","FCAR"
"X4989.7","Fibrinogen gamma chain","Fibrinogen g-chain dimer","P02679","FGG"
"X4990.87","Platelet glycoprotein Ib alpha chain","GP1BA","P07359","GP1BA"
"X4992.49","Granulins","GRN","P28799","GRN"
"X4993.16","Glutathione S-transferase A3","GSTA3","Q16772","GSTA3"
"X4994.178","Heterogeneous nuclear ribonucleoprotein K","hnRNP K","P61978","HNRNPK"
"X4995.16","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","HPG-","P15428","HPGD"
"X4996.66","Histidine-rich glycoprotein","HRG","P04196","HRG"
"X4998.50","Tyrosine-protein kinase JAK2","JAK2","O60674","JAK2"
"X5001.6","Mammaglobin-B","Mammaglobin 2","O75556","SCGB2A1"
"X5002.76","Matrix metalloproteinase-14","MMP-14","P50281","MMP14"
"X5004.69","Mitogen-activated protein kinase 11","MK11","Q15759","MAPK11"
"X5005.4","Mitogen-activated protein kinase 12","MK12","P53778","MAPK12"
"X5006.71","Mitogen-activated protein kinase 13","MK13","O15264","MAPK13"
"X5007.1","Mitogen-activated protein kinase 14","MAPK14","Q16539","MAPK14"
"X5008.51","Superoxide dismutase [Mn], mitochondrial","Mn SOD","P04179","SOD2"
"X5009.11","Moesin","Moesin","P26038","MSN"
"X5011.11","Nicotinamide phosphoribosyltransferase","PBEF","P43490","NAMPT"
"X5013.2","Chloride intracellular channel protein 1","NCC27","O00299","CLIC1"
"X5014.49","Cytoplasmic protein NCK1","NCK1","P16333","NCK1"
"X5015.15","Platelet-activating factor acetylhydrolase","PAFAH","Q13093","PLA2G7"
"X5016.61","Protein deglycase DJ-1","PARK7","Q99497","PARK7"
"X5018.68","Peroxiredoxin-6","Peroxiredoxin-6","P30041","PRDX6"
"X5019.16","Ubiquitin carboxyl-terminal hydrolase isozyme L1","PGP9.5","P09936","UCHL1"
"X5021.13","Inorganic pyrophosphatase","PPase","Q15181","PPA1"
"X5023.23","Adenylosuccinate lyase","PUR8","P30566","ADSL"
"X5024.67","Retinoblastoma-associated protein","Rb","P06400","RB1"
"X5026.66","40S ribosomal protein S3","RS3","P23396","RPS3"
"X5028.59","Scavenger receptor cysteine-rich type 1 protein M130","sCD163","Q86VB7","CD163"
"X5029.3","Prolyl endopeptidase FAP","SEPR","Q12884","FAP"
"X5030.52","NAD-dependent protein deacetylase sirtuin-2","SIRT2","Q8IXJ6","SIRT2"
"X5031.10","Spectrin alpha chain, non-erythrocytic 1","SPTA2","Q13813","SPTAN1"
"X5032.64","FACT complex subunit SSRP1","SSRP1","Q08945","SSRP1"
"X5033.27","Tropomyosin alpha-1 chain","Tropomyosin 1 alpha chain","P09493","TPM1"
"X5060.62","Programmed cell death 1 ligand 1","B7-H1","Q9NZQ7","CD274"
"X5061.27","ICOS ligand","B7-H2","O75144","ICOSLG"
"X5062.60","CD226 antigen","CD226","Q15762","CD226"
"X5063.12","Natural killer cell receptor 2B4","CD244","Q9BZW8","CD244"
"X5065.8","CD83 antigen","CD83","Q01151","CD83"
"X5066.134","CMRF35-like molecule 6","CLM6","Q08708","CD300C"
"X5068.54","Cytotoxic and regulatory T-cell molecule","CRTAM","O95727","CRTAM"
"X5076.53","Ephrin type-A receptor 10","EPHAA","Q5JZY3","EPHA10"
"X5077.28","Ephrin type-B receptor 2","EPHB2","P29323","EPHB2"
"X5078.82","Ephrin type-B receptor 6","EphB6","O15197","EPHB6"
"X5080.131","Transmembrane glycoprotein NMB","GPNMB","Q14956","GPNMB"
"X5082.51","X-linked interleukin-1 receptor accessory protein-like 2","IL-1 sR9","Q9NP60","IL1RAPL2"
"X5085.18","Interleukin-20 receptor subunit alpha","IL-20 Ra","Q9UHF4","IL20RA"
"X5087.5","Interleukin-22 receptor subunit alpha-2","IL-22BP","Q969J5","IL22RA2"
"X5088.175","Interleukin-23 receptor","IL-23 R","Q5VWK5","IL23R"
"X5089.11","Interleukin-7 receptor subunit alpha","IL-7 Ra","P16871","IL7R"
"X5090.49","Leukocyte immunoglobulin-like receptor subfamily B member 1","ILT-2","Q8NHL6","LILRB1"
"X5091.28","Leukocyte immunoglobulin-like receptor subfamily B member 2","ILT-4","Q8N423","LILRB2"
"X5092.51","Protein jagged-1","JAG1","P78504","JAG1"
"X5093.47","Protein jagged-2","JAG2","Q9Y219","JAG2"
"X5094.62","Junctional adhesion molecule-like","JAML1","Q86YT9","AMICA1"
"X5095.21","Killer cell immunoglobulin-like receptor 2DL4","KI2L4","Q99706","KIR2DL4"
"X5097.14","Killer cell immunoglobulin-like receptor 3DS1","KI3S1","Q14943","KIR3DS1"
"X5098.79","Killer cell lectin-like receptor subfamily F member 1","KLRF1","Q9NZS2","KLRF1"
"X5100.53","Lysosome membrane protein 2","LIMP II","Q14108","SCARB2"
"X5104.57","Natural cytotoxicity triggering receptor 1","NKp46","O76036","NCR1"
"X5105.2","Reticulon-4 receptor","Nogo Receptor","Q9BZR6","RTN4R"
"X5107.7","Neurogenic locus notch homolog protein 1","Notch 1","P46531","NOTCH1"
"X5108.72","Neurogenic locus notch homolog protein 3","Notch-3","Q9UM47","NOTCH3"
"X5110.84","Neurexin-1-beta","NRX1B","P58400","NRXN1"
"X5111.15","Neurexin-3-beta","NRX3B","Q9HDB5","NRXN3"
"X5112.73","OX-2 membrane glycoprotein","OX2G","P41217","CD200"
"X5114.65","Prolactin receptor","Prolactin Receptor","P16471","PRLR"
"X5115.31","Tumor necrosis factor receptor superfamily member 19L","RELT","Q969Z4","RELT"
"X5117.14","Roundabout homolog 3","ROBO3","Q96MS0","ROBO3"
"X5121.3","Semaphorin-6B","SEM6B","Q9H3T3","SEMA6B"
"X5122.92","Semaphorin-6A","Semaphorin-6A","Q9H2E6","SEMA6A"
"X5125.6","Sialic acid-binding Ig-like lectin 14","SIG14","Q08ET2","SIGLEC14"
"X5128.53","SLAM family member 6","SLAF6","Q96DU3","SLAMF6"
"X5129.12","Scavenger receptor class F member 1","SREC-I","Q14162","SCARF1"
"X5130.67","Scavenger receptor class F member 2","SREC-II","Q96GP6","SCARF2"
"X5131.15","Tumor necrosis factor receptor superfamily member 19","TAJ","Q9NS68","TNFRSF19"
"X5132.71","Interleukin-27 receptor subunit alpha","TCCR","Q6UWB1","IL27RA"
"X5133.17","TGF-beta receptor type-2","TGF-b R II","P37173","TGFBR2"
"X5134.52","Hepatitis A virus cellular receptor 2","TIMD3","Q8TDQ0","HAVCR2"
"X5138.50","Tumor necrosis factor receptor superfamily member 12A","TWEAKR","Q9NP84","TNFRSF12A"
"X5140.56","Netrin receptor UNC5D","UNC5H4","Q6UXZ4","UNC5D"
"X5178.5","High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A","PDE7A","Q13946","PDE7A"
"X5183.53","AMP Kinase (alpha1beta1gamma1)","AMPK a1b1g1","Q13131 Q9Y478 P54619","PRKAA1 PRKAB1  PRKAG1"
"X5201.50","High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A","PDE9A","O76083","PDE9A"
"X5204.13","Proteasome activator complex subunit 3","PSME3","P61289","PSME3"
"X5223.59","Glucokinase regulatory protein","GCKR","Q14397","GCKR"
"X5225.50","Casein kinase II 2-alpha:2-beta heterotetramer","CK2-A1:B","P68400 P67870","CSNK2A1 CSNK2B"
"X5226.36","Casein kinase II 2-alpha':2-beta heterotetramer","CK2-A2:B","P19784 P67870","CSNK2A2 CSNK2B"
"X5227.60","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial","PDK1","Q15118","PDK1"
"X5228.25","Kinesin-like protein KIF23","KIF23","Q02241","KIF23"
"X5230.99","3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGR","P04035","HMGCR"
"X5236.2","Nuclear receptor subfamily 1 group D member 1","NR1D1","P20393","NR1D1"
"X5238.26","Peptidyl-prolyl cis-trans isomerase E","PPIE","Q9UNP9","PPIE"
"X5242.37","Dual specificity mitogen-activated protein kinase kinase 4","MP2K4","P45985","MAP2K4"
"X5244.12","Mitogen-activated protein kinase 9","JNK2","P45984","MAPK9"
"X5246.64","cGMP-dependent 3',5'-cyclic phosphodiesterase","cGMP-stimulated PDE","O00408","PDE2A"
"X5248.68","Peptidyl-prolyl cis-trans isomerase F, mitochondrial","Cyclophilin F","P30405","PPIF"
"X5249.31","Serine/threonine-protein kinase 17B","DRAK2","O94768","STK17B"
"X5253.1","Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A","PDE1A","P54750","PDE1A"
"X5255.22","cAMP-specific 3',5'-cyclic phosphodiesterase 4D","PDE4D","Q08499","PDE4D"
"X5259.2","Mitogen-activated protein kinase kinase kinase 7:TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 fusion","TAK1-TAB1","O43318 Q15750","MAP3K7 TAB1"
"X5262.57","Breast cancer anti-estrogen resistance protein 3","BCAR3","O75815","BCAR3"
"X5264.65","Calreticulin","calreticulin","P27797","CALR"
"X5271.5","Ras-related C3 botulinum toxin substrate 3","RAC3","P60763","RAC3"
"X5272.55","SHC-transforming protein 1","SHC1","P29353","SHC1"
"X5280.68","Mitochondrial glutamate carrier 2","GHC2","Q9H1K4","SLC25A18"
"X5301.7","Eotaxin","Eotaxin","P51671","CCL11"
"X5308.89","Neutrophil elastase","Elastase","P08246","ELANE"
"X5312.49","Apolipoprotein E (isoform E2)","Apo E2","P02649","APOE"
"X5328.33","Epidermal growth factor receptor variant III","EGFRvIII","P00533","EGFR"
"X5337.64","T-lymphocyte activation antigen CD86","B7-2","P42081","CD86"
"X5339.49","Protein S100-A9","calgranulin B","P06702","S100A9"
"X5343.74","Carboxypeptidase E","CBPE","P16870","CPE"
"X5345.51","Cytoskeleton-associated protein 2","CKAP2","Q8WWK9","CKAP2"
"X5346.24","Copine-1","CPNE1","Q99829","CPNE1"
"X5347.59","G2/mitotic-specific cyclin-B1","Cyclin B1","P14635","CCNB1"
"X5349.69","Delta-like protein 1","DLL1","O00548","DLL1"
"X5350.14","Glypican-6","GPC6","Q9Y625","GPC6"
"X5351.52","Heterogeneous nuclear ribonucleoproteins A2/B1","hnRNP A2/B1","P22626","HNRNPA2B1"
"X5352.11","Tumor necrosis factor receptor superfamily member 14","HVEM","Q92956","TNFRSF14"
"X5353.89","Interleukin-1 receptor antagonist protein","IL-1Ra","P18510","IL1RN"
"X5355.69","Tumor necrosis factor ligand superfamily member 14","LIGHT","O43557","TNFSF14"
"X5356.2","Macrophage migration inhibitory factor","MIF","P14174","MIF"
"X5358.3","Osteomodulin","OMD","Q99983","OMD"
"X5359.65","Serine/threonine-protein kinase pim-1","PIM1","P11309","PIM1"
"X5363.51","Semaphorin-3E","Semaphorin 3E","O15041","SEMA3E"
"X5364.7","Protein SET","SET","Q01105","SET"
"X5383.14","Tumor necrosis factor receptor superfamily member 13C","BAFF Receptor","Q96RJ3","TNFRSF13C"
"X5384.67","Transcription factor IIIB 90 kDa subunit","BRF-1","Q92994","BRF1"
"X5392.73","Tumor necrosis factor receptor superfamily member 6","Fas, soluble","P25445","FAS"
"X5404.53","Tumor necrosis factor receptor superfamily member 21","DR6","O75509","TNFRSF21"
"X5412.53","CD27 antigen","CD27","P26842","CD27"
"X5437.63","Fatty acid-binding protein, heart","FABP","P05413","FABP3"
"X5440.26","Troponin I, fast skeletal muscle","Troponin I, skeletal, fast twitch","P48788","TNNI2"
"X5441.67","Troponin I, cardiac muscle","Troponin I","P19429","TNNI3"
"X5443.62","Atrial natriuretic factor","ANP","P01160","NPPA"
"X5452.71","Asialoglycoprotein receptor 1","ASGR1","P07306","ASGR1"
"X5456.59","Beta-Ala-His dipeptidase","CNDP1","Q96KN2","CNDP1"
"X5457.5","Collectin-12","COLEC12","Q5KU26","COLEC12"
"X5460.60","ATP-dependent RNA helicase DDX19B","DEAD-box protein 19B","Q9UMR2","DDX19B"
"X5464.52","Growth factor receptor-bound protein 2","GRB2 adapter protein","P62993","GRB2"
"X5467.15","Heat shock protein HSP 90-beta","HSP 90b","P08238","HSP90AB1"
"X5468.67","Interleukin-17 receptor C","IL-17 RC","Q8NAC3","IL17RC"
"X5470.69","Mediator of RNA polymerase II transcription subunit 1","MED-1","Q15648","MED1"
"X5475.10","Protein kinase C beta type (splice variant beta-II)","PKC-B-II","P05771","PRKCB"
"X5480.49","C-C motif chemokine 5","RANTES","P13501","CCL5"
"X5482.61","Retinol-binding protein 4","RBP","P02753","RBP4"
"X5483.1","Repulsive guidance molecule A","RGMA","Q96B86","RGMA"
"X5484.63","40S ribosomal protein S3a","RS3A","P61247","RPS3A"
"X5486.73","Intercellular adhesion molecule 2","sICAM-2","P13598","ICAM2"
"X5488.74","Proto-oncogene tyrosine-protein kinase Src","SRCN1","P12931","SRC"
"X5489.18","Stress-induced-phosphoprotein 1","Stress-induced-phosphoprotein 1","P31948","STIP1"
"X5490.53","Testican-1","Testican-1","Q08629","SPOCK1"
"X5491.12","Testican-2","Testican-2","Q92563","SPOCK2"
"X5494.52","Small nuclear ribonucleoprotein F","RUXF","P62306","SNRPF"
"X5532.53","Fibroblast growth factor receptor 1","bFGF-R","P11362","FGFR1"
"X5534.49","Tumor necrosis factor receptor superfamily member 10B","TRAIL R2","O14763","TNFRSF10B"
"X5792.8","alpha-Fetoprotein","AFP","P02771","AFP"
"X5798.3","BH3-interacting domain death agonist","BID","P55957","BID"
"X5810.25","Teratocarcinoma-derived growth factor 1","Cripto","P13385","TDGF1"
"X5813.58","Erythropoietin","Epo","P01588","EPO"
"X5822.22","Glial cell line-derived neurotrophic factor","GDNF","P39905","GDNF"
"X5825.49","Interferon gamma receptor 1","IFN-g R1","P15260","IFNGR1"
"X5834.18","Interleukin-9","IL-9","P15248","IL9"
"X5843.60","Histone-lysine N-methyltransferase EHMT2","NG36","Q96KQ7","EHMT2"
"X5846.24","Noggin","Noggin","Q13253","NOG"
"X5852.6","Protein S100-A12","S100A12","P80511","S100A12"
"X5854.60","Microtubule-associated protein tau","tau","P10636","MAPT"
"X5858.6","14-3-3 protein zeta/delta","14-3-3 protein zeta/delta","P63104","YWHAZ"
"X5867.60","Arginase-1","ARGI1","P05089","ARG1"
"X5870.23","Bcl2-associated agonist of cell death","BAD","Q92934","BAD"
"X5882.34","Elongation factor 1-beta","EF-1-beta","P24534","EEF1B2"
"X5885.55","Eukaryotic translation initiation factor 4H","eIF-4H","Q15056","EIF4H"
"X5888.29","Eukaryotic translation initiation factor 5A-1","eIF-5A-1","P63241","EIF5A"
"X5900.11","Histidine triad nucleotide-binding protein 1","HINT1","P49773","HINT1"
"X5909.51","Nucleoside diphosphate kinase A","Nucleoside diphosphate kinase A","P15531","NME1"
"X5915.58","Peroxisomal targeting signal 1 receptor","PEX5","P50542","PEX5"
"X5918.5","Proteasome activator complex subunit 1","PSME1","Q06323","PSME1"
"X5921.58","Protein S100-A7","S100A7","P31151","S100A7"
"X5927.4","WNT1-inducible-signaling pathway protein 3","WISP-3","O95389","WISP3"
"X5934.1","Ferritin","Ferritin","P02794 P02792","FTH1 FTL"
"X5936.53","Tumor necrosis factor","TNF-a","P01375","TNF"
"X5947.90","Thrombopoietin","Tpo","P40225","THPO"
"X5954.62","Parathyroid hormone","PTH","P01270","PTH"
"X5957.30","Somatostatin-28","Somatostatin-28","P61278","SST"
"X6151.18","Dual specificity mitogen-activated protein kinase kinase 3","MP2K3","P46734","MAP2K3"
"X6152.111","Cellular tumor antigen p53","p53","P04637","TP53"
"X6647.55","PolyUbiquitin K63-linked","PolyUbiquitin K63","P0CG48","UBC"
"X6649.51","Netrin-1","NET1","O95631","NTN1"
"X6653.58","Leukocyte surface antigen CD47","CD47","Q08722","CD47"
"X7624.19","Ankyrin-2","ANK2","Q01484","ANK2"
"X7625.27","14-3-3 protein theta","14-3-3 protein theta","P27348","YWHAQ"
"X7628.40","Cysteine-rich with EGF-like domain protein 1","CREL1","Q96HD1","CRELD1"
"X7638.30","Vesicular integral-membrane protein VIP36","Lectin, mannose-binding 2","Q12907","LMAN2"
"X7640.29","Low-density lipoprotein receptor-related protein 1B","LRP1B","Q9NZR2","LRP1B"
"X7648.9","Myosin-binding protein C, slow-type","MYPC1","Q00872","MYBPC1"
"X7655.11","N-terminal pro-BNP","N-terminal pro-BNP","P16860","NPPB"
"X8446.4","Pituitary adenylate cyclase-activating polypeptide 27","PACAP-27","P18509","ADCYAP1"
"X8447.11","Appetite-regulating hormone","ghrelin","Q9UBU3","GHRL"
"X8458.111","Alpha-synuclein","a-Synuclein","P37840","SNCA"
"X8462.18","Somatotropin","HGH","P01241","GH1"
"X8463.2","Extracellular superoxide dismutase [Cu-Zn]","SOD3","P08294","SOD3"
"X8464.31","R-spondin-4","RSPO4","Q2I0M5","RSPO4"
"X8465.52","Cathepsin H","Cathepsin H","P09668","CTSH"
"X8467.9","Inhibin beta A chain:Inhibin beta B chain heterodimer","Activin AB","P08476 P09529","INHBA INHBB"
"X8469.41","Insulin-like growth factor-binding protein 2","IGFBP-2","P18065","IGFBP2"
"X8470.213","Ribonuclease H1","RNase H1","O60930","RNASEH1"
"X8474.6","Tyrosine-protein kinase transmembrane receptor ROR1","ROR1","Q01973","ROR1"
"X8479.4","Stromelysin-2","MMP-10","P09238","MMP10"
"X8484.24","Leptin","Leptin","P41159","LEP"
"X8485.7","Kelch-like ECH-associated protein 1","KEAP1","Q14145","KEAP1"
"X9168.31","C-C motif chemokine 26","Eotaxin-3","Q9Y258","CCL26"
"X9169.14","Small ubiquitin-related modifier 3","SUMO3","P55854","SUMO3"
"X9170.24","Interleukin-17A","IL-17","Q16552","IL17A"
"X9171.11","Cysteine and glycine-rich protein 3","CSRP3","P50461","CSRP3"
"X9173.21","Phosphoglucomutase-1","PGM1","P36871","PGM1"
"X9175.48","Down syndrome cell adhesion molecule","DSCAM","O60469","DSCAM"
"X9176.3","Mucin-1","MUC1","P15941","MUC1"
"X9177.6","Protein FAM3B","FAM3B","P58499","FAM3B"
"X9178.30","Neuregulin-1","NEUREGULIN-1","Q02297","NRG1"
"X9180.6","Interferon gamma receptor 2","INGR2","P38484","IFNGR2"
"X9182.3","Low-density lipoprotein receptor-related protein 1, soluble","sLRP1","Q07954","LRP1"
"X9183.7","Interferon alpha/beta receptor 1","IFN-a/b R1","P17181","IFNAR1"
"X9185.15","Trefoil factor 1","TFF1","P04155","TFF1"
"X9187.2","Non-histone chromosomal protein HMG-14","HMGN1","P05114","HMGN1"
"X9188.119","C-X-C motif chemokine 9","MIG","Q07325","CXCL9"
"X9190.7","CD63 antigen","CD63","P08962","CD63"
"X9191.8","Trefoil factor 2","Trefoil factor 2","Q03403","TFF2"
"X9197.4","Galectin-9","LEG9","O00182","LGALS9"
"X9201.13","Transgelin-2","Transgelin-2","P37802","TAGLN2"
"X9202.309","ATP synthase subunit O, mitochondrial","ATPO","P48047","ATP5O"
"X9204.33","Pro-opiomelanocortin","Corticotropin-lipotropin","P01189","POMC"
"X9207.60","Quinone oxidoreductase-like protein 1","QORL1","O95825","CRYZL1"
"X9212.22","Cathepsin F","CATF","Q9UBX1","CTSF"
"X9215.117","Ubiquitin carboxyl-terminal hydrolase 25","UBP25","Q9UHP3","USP25"
"X9216.100","Plexin-B2","PLXB2","O15031","PLXNB2"
